model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
impreza	2005	190000	atlanta	3500	3472.8699980818615	4789.687074829932	2920.1948033463295	6655.659942363112	4500
impreza-wrx	2005	89000	atlanta	8500	7539.4827097695015	7276.251040221914	8793.401392429667	9121.141592920354	6900
outback	2000	132000	atlanta	3000	1183.751045020463	2504.294736842105	3367.0968952768335	7574.452145214522	2350
wrx	2011	90000	minneapolis	16500	14815.885028742432	11650.57939914163	15551.356651067457	12931.025862068966	15750
impreza-wrx	2009	106789	minneapolis	10000	11310.926744102862	7276.251040221914	12515.60435934982	9121.141592920354	11499
wrx	2017	34000	minneapolis	24500	20520.965510598096	18539.40404040404	24519.809571588306	12931.025862068966	22999
legacy	2005	164000	minneapolis	3900	5037.795392023976	4789.687074829932	3356.840666771064	6418.04289544236	4000
legacy	2010	83500	minneapolis	7599	9731.353703779965	7276.251040221914	8691.488401973087	6418.04289544236	6500
forester	2005	171000	atlanta	5995	4481.555563148908	4789.687074829932	3598.60645184835	6524.113964686999	3700
legacy	2010	149000	atlanta	5700	9131.50029126988	4789.687074829932	5592.727832194029	6418.04289544236	6500
outback	2002	170000	atlanta	700	2826.7326000666017	2417.3728222996515	2865.655140773287	7574.452145214522	2500
forester	2005	147848	minneapolis	4650	4887.07884242748	7276.251040221914	4406.052129305667	6524.113964686999	3700
brz	2016	10000	minneapolis	19000	18713.961656218515	18539.40404040404	19948.78965688178	16082.274725274725	17200
wrx	2014	21250	minneapolis	18900	18096.421251574022	18539.40404040404	23751.962227067306	12931.025862068966	20250
forester	2015	53050	minneapolis	15900	14128.34360362034	18539.40404040404	15607.252388780838	6524.113964686999	16100
forester	2000	85000	atlanta	7900	403.8680149914094	2504.294736842105	4179.700516243981	6524.113964686999	1947.5
forester	2001	123000	missoula	4599	3480.974695625183	2504.294736842105	3348.061457455099	6524.113964686999	2350
forester	2006	190000	atlanta	2000	5312.517126052768	4789.687074829932	3625.053097068433	6524.113964686999	4000
outback	2002	170	atlanta	3999	5718.323021407121	7276.251040221914	4219.117413195383	7574.452145214522	2500
legacy	2008	158000	minneapolis	6500	7689.107390865025	4789.687074829932	5040.998689613354	6418.04289544236	5800
forester	2002	232000	minneapolis	700	2050.4658910242856	2417.3728222996515	1543.8324515080058	6524.113964686999	2700
wrx	2007	112000	minneapolis	11000	11205.074560123308	7276.251040221914	10593.306930230221	12931.025862068966	9749.5
legacy	2008	122000	atlanta	13500	7464.719972187115	7276.251040221914	5304.845009904826	6418.04289544236	5800
outback	2002	109000	minneapolis	5100	3366.269957696217	7276.251040221914	3993.4696408979726	7574.452145214522	2500
outback	2006	196009	minneapolis	2300	6616.007590570149	4789.687074829932	3586.385906096618	7574.452145214522	4997.5
outback	2008	93440	missoula	12000	10728.720293456274	7276.251040221914	9422.23287178963	7574.452145214522	6325
forester	1998	197000	missoula	1500	635.2071576254939	2417.3728222996515	2224.0811748902634	6524.113964686999	1500
impreza	2009	89400	minneapolis	5980	7663.914871575795	7276.251040221914	6741.191604839181	6655.659942363112	5950
outback	2014	49062	minneapolis	11950	14262.282524799595	18539.40404040404	17882.330629630436	7574.452145214522	16500
forester	2009	219200	minneapolis	4900	8223.319403648178	4789.687074829932	4967.797696141012	6524.113964686999	6900
brz	2014	39000	atlanta	14400	16010.030922520138	18539.40404040404	16615.207279660986	16082.274725274725	16000
outback	2014	34800	atlanta	24000	14075.688738885265	18539.40404040404	20126.523998757646	7574.452145214522	16500
legacy	2005	168000	minneapolis	5000	5026.991587881645	4789.687074829932	3284.0436582800303	6418.04289544236	4000
legacy	1996	227000	minneapolis	850	-3011.769866891103	2417.3728222996515	1008.4489523882839	6418.04289544236	1375
outback	2000	201222	atlanta	1200	994.7323997458864	2417.3728222996515	2158.7981870064395	7574.452145214522	2350
forester	2007	177000	missoula	8000	8587.013130114407	4789.687074829932	5094.607315039779	6524.113964686999	5998
legacy	1995	236	missoula	500	1057.3797753367498	2504.294736842105	1348.6114211067124	6418.04289544236	1100
impreza	2009	115500	minneapolis	6750	7549.117720632654	7276.251040221914	6098.732425125923	6655.659942363112	5950
forester	2008	190760	minneapolis	4995	7407.430299455957	4789.687074829932	5007.895634375607	6524.113964686999	6700
legacy	2000	293000	atlanta	2500	46.281490128018504	2417.3728222996515	967.4558571673897	6418.04289544236	1950
forester	2007	155495	atlanta	4499	6280.5709036454555	4789.687074829932	5019.669414639649	6524.113964686999	5998
outback	2000	147	atlanta	5497	4001.8625985981143	2504.294736842105	3565.9937920048314	7574.452145214522	2350
legacy-outback	2005	150000	minneapolis	6000	6219.531641385387	4789.687074829932	4331.87255732405	3175.4347826086955	4774.5
forester-xt	2004	203000	atlanta	5200	5514.676877474152	4789.687074829932	5211.867958269993	9804.4	5900
forester	2015	53050	minneapolis	15900	14128.34360362034	18539.40404040404	15607.252388780838	6524.113964686999	16100
impreza	2010	56000	minneapolis	7400	8751.66086172976	7276.251040221914	8458.279318663017	6655.659942363112	6700
impreza	1993	265800	minneapolis	600	-6875.7760133093	2417.3728222996515	2507.3838997244575	6655.659942363112	1900
impreza	2009	75000	minneapolis	7950	7742.608518688252	7276.251040221914	7163.100148580725	6655.659942363112	5950
forester	2011	60311	atlanta	12995	10217.793632497378	18539.40404040404	11980.754303959191	6524.113964686999	7900
outback	2013	83000	minneapolis	9900	13148.59770575003	11650.57939914163	14232.406221744117	7574.452145214522	12900
impreza	2004	267000	atlanta	1500	2442.1104383314737	4789.687074829932	1809.9632098267384	6655.659942363112	3725
brz	2015	30500	atlanta	19000	16998.19513043447	18539.40404040404	17755.30028815286	16082.274725274725	15999.5
legacy	2010	73928	minneapolis	9000	9785.904281883853	7276.251040221914	9112.550445234541	6418.04289544236	6500
outback	2002	149900	minneapolis	3900	3223.4469947829	2417.3728222996515	2899.9851644133714	7574.452145214522	2500
impreza	2006	250087	missoula	2600	6592.375180439365	4789.687074829932	3822.4187698878195	6655.659942363112	4750
legacy	1998	177000	missoula	1000	880.405487411691	2417.3728222996515	1790.578066882721	6418.04289544236	1500
legacy-outback	2001	155410	missoula	4100	4715.060640284158	2417.3728222996515	3276.8804767612764	3175.4347826086955	1800
impreza	2009	70000	atlanta	8250	7433.214875268735	7276.251040221914	7471.156394180449	6655.659942363112	5950
outback	2008	150480	atlanta	7850	8150.618511188366	4789.687074829932	6222.896042628793	7574.452145214522	6325
forester	2008	155000	minneapolis	7300	7500.502692390108	4789.687074829932	5973.667566978928	6524.113964686999	6700
forester-xt	2004	225400	atlanta	4500	5467.742929648934	4789.687074829932	4850.992187647977	9804.4	5900
forester	2002	253000	atlanta	1800	1671.3076364387912	2417.3728222996515	1337.3185691254894	6524.113964686999	2700
legacy	1998	186000	atlanta	2450	-1506.3496842017153	2417.3728222996515	1818.804663376929	6418.04289544236	1500
outback	2006	150000	atlanta	4500	6395.649340617387	4789.687074829932	4892.458233927958	7574.452145214522	4997.5
legacy	2008	156259	minneapolis	5500	7694.0748525833405	4789.687074829932	5079.585851506497	6418.04289544236	5800
outback	1996	219690	missoula	2000	-192.9253977661242	2417.3728222996515	2450.331539309572	7574.452145214522	1350
impreza	2008	145000	missoula	7999	8593.170835292016	7276.251040221914	6047.4345653925975	6655.659942363112	5500
impreza	1995	162000	missoula	2400	-2873.1399005006983	2417.3728222996515	2439.681188852822	6655.659942363112	2200
legacy	2012	110200	minneapolis	5999	11363.41926902892	11650.57939914163	9264.088491401628	6418.04289544236	7500
outback	2005	148000	minneapolis	5000	5863.767834118244	4789.687074829932	4225.0865873597895	7574.452145214522	4400
forester	2015	53090	minneapolis	15900	14128.006115332957	18539.40404040404	15604.579814702756	6524.113964686999	16100
outback	1998	224000	missoula	2195	1554.7642072203823	2417.3728222996515	2233.318471504136	7574.452145214522	1900
legacy	1998	234000	missoula	1300	755.229157719662	2417.3728222996515	1338.778969636879	6418.04289544236	1500
impreza-wrx	2003	145000	minneapolis	7500	5904.613801118465	7276.251040221914	5368.113668609826	9121.141592920354	5500
wrx	2010	113000	atlanta	12995	13495.391048273237	7276.251040221914	12975.511171658796	12931.025862068966	14100
outback	2004	143500	minneapolis	3900	4999.409325966668	7276.251040221914	3837.708147378463	7574.452145214522	3999.5
outback	2005	133000	minneapolis	3500	5911.673151606683	7276.251040221914	4671.948020842615	7574.452145214522	4400
wrx	2002	194500	minneapolis	6500	6566.639929190058	2417.3728222996515	4722.520862850343	12931.025862068966	5500
forester	2007	137800	minneapolis	6400	6675.0317190585065	7276.251040221914	5868.162648014835	6524.113964686999	5998
