price	model1_est	model2_est	model3_est	model4_est	model5_est
5600	4978.870129772009	5300	4330.594248481183	9121.141592920354	2417.3728222996515
6000	6584.271473504281	5500	4852.014961482639	12931.025862068966	2417.3728222996515
7700	9637.930270284649	7500	9178.226833732686	6655.659942363112	11567.134146341463
700	481.0443699805387	1450	1686.0235808456155	3175.4347826086955	2417.3728222996515
18250	16265.723133269441	15995	16695.853541963337	6418.04289544236	18539.40404040404
2900	5782.340183967642	3200	2596.0227503797714	6524.113964686999	4789.687074829932
3500	7767.892327488049	4400	3934.1563442556007	7574.452145214522	4789.687074829932
8000	9930.860238795192	5950	8814.80103682011	6655.659942363112	7276.251040221914
7500	8654.184702917644	4997.5	4535.796134278807	7574.452145214522	4789.687074829932
6000	7694.818560105839	5800	5085.363974140069	6418.04289544236	4789.687074829932
5800	7437.236959137119	5300	6067.974517395615	9121.141592920354	7276.251040221914
5000	8631.381202364488	6325	7694.5641574575575	7574.452145214522	7276.251040221914
6500	4971.816958507485	4000	2915.082966891795	6418.04289544236	4789.687074829932
14999	16165.75952632732	15995	16017.486591813038	6418.04289544236	11650.57939914163
17250	16265.723133269441	15995	16695.853541963337	6418.04289544236	18539.40404040404
24500	17951.231412859368	16200	19952.797938964613	6418.04289544236	18539.40404040404
8959	8823.865328710948	6000	7716.8594099584525	6418.04289544236	7276.251040221914
7850	7745.004285583076	5950	7175.656810981805	6655.659942363112	7276.251040221914
6000	7663.914871575795	5950	6741.191604839181	6655.659942363112	7276.251040221914
9900	14087.08503343175	9900	10611.604706183096	9804.4	7276.251040221914
600	2241.330796521597	2450	1906.975569599298	7574.452145214522	2417.3728222996515
6800	6589.249662983188	5500	7330.81413891698	9804.4	7276.251040221914
